time,speed
201909081810,34.284
201909081820,34.062
201909081830,26.987
201909081840,33.687
201909081850,31.435
201909081900,33.464
201909081910,34.434
201909081920,33.415
201909081930,34.284
201909081940,34.085
201909081950,35.16
201909082000,36.109
201909082010,35.328
201909082020,35.28
201909082030,35.407
201909082040,35.537
201909082050,35.473
201909082100,35.97
201909082110,34.577
201909082120,36.879
201909082130,36.239
201909082140,38.089
201909082150,37.909
201909082200,36.871
201909082210,37.817
201909082220,36.103
201909082230,35.329
201909082240,37.105
201909082250,37.774
201909082300,38.577
201909082310,39.266
201909082320,40.447
201909082330,41.854
201909082340,39.849
201909082350,38.822
201909090000,39.273
201909090010,38.788
201909090020,38.269
201909090030,38.191
201909090040,41.135
201909090050,36.751
201909090100,39.067
201909090110,36.27
201909090120,40.948
201909090130,41.61
201909090140,39.512
201909090150,41.143
201909090200,41.652
201909090210,41.011
201909090220,41.289
201909090230,40.535
201909090240,41.241
201909090250,41.347
201909090300,40.793
201909090310,37.911
201909090320,38.367
201909090330,39.531
201909090340,40.515
201909090350,40.82
201909090400,41.888
201909090410,37.812
201909090420,40.594
201909090430,41.514
201909090440,41.847
201909090450,39.522
201909090500,41.226
201909090510,40.413
201909090520,41.614
201909090530,38.648
201909090540,40.692
201909090550,40.538
201909090600,40.131
201909090610,38.352
201909090620,40.035
201909090630,41.514
201909090640,40.913
201909090650,38.852
201909090700,38.393
201909090710,37.295
201909090720,38.112
201909090730,36.703
201909090740,31.135
201909090750,35.077
201909090800,25.449
201909090810,36.002
201909090820,38.094
201909090830,38.515
201909090840,38.708
201909090850,38.368
201909090900,40.983
201909090910,40.409
201909090920,39.465
201909090930,38.383
201909090940,38.479
201909090950,37.582
201909091000,38.976
201909091010,39.5
201909091020,35.83
201909091030,36.924
201909091040,39.075
201909091050,37.811
201909091100,39.615
201909091110,38.733
201909091120,37.579
201909091130,39.045
201909091140,35.992
201909091150,36.497
201909091200,36.402
201909091210,37.182
201909091220,40.137
201909091230,37.381
201909091240,38.4
201909091250,37.551
201909091300,37.635
201909091310,36.913
201909091320,38.837
201909091330,38.973
201909091340,38.588
201909091350,37.201
201909091400,36.181
201909091410,39.335
201909091420,40.598
201909091430,37.624
201909091440,37.852
201909091450,36.275
201909091500,37.679
201909091510,36.191
201909091520,36.639
201909091530,35.398
201909091540,35.604
201909091550,34.786
201909091600,35.666
201909091610,36.568
201909091620,31.142
201909091630,33.956
201909091640,31.158
201909091650,26.976
201909091700,26.379
201909091710,27.598
201909091720,20.723
201909091730,19.362
201909091740,11.541
201909091750,15.359
201909091800,15.967
201909091810,18.827
201909091820,17.285
201909091830,13.991
201909091840,15.248
201909091850,10.214
201909091900,8.668
201909091910,9.406
201909091920,13.194
201909091930,10.397
201909091940,17.32
201909091950,18.579
201909092000,20.029
201909092010,22.927
201909092020,26.52
201909092030,24.61
201909092040,29.642
201909092050,27.215
201909092100,31.955
201909092110,26.279
201909092120,22.357
201909092130,29.036
201909092140,27.003
201909092150,33.915
201909092200,34.526
201909092210,28.287
201909092220,29.152
201909092230,35.108
201909092240,36.894
201909092250,35.161
201909092300,37.133
201909092310,37.283
201909092320,36.695
201909092330,36.859
201909092340,37.61
201909092350,39.496
201909100000,35.44
201909100010,38.142
201909100020,40.25
201909100030,36.993
201909100040,38.497
201909100050,39.9
201909100100,36.543
201909100110,35.387
201909100120,37.032
201909100130,39.087
201909100140,37.302
201909100150,38.272
201909100200,36.116
201909100210,37.986
201909100220,37.955
201909100230,37.96
201909100240,38.774
201909100250,41.531
201909100300,40.677
201909100310,40.577
201909100320,40.066
201909100330,41.093
201909100340,35.503
201909100350,41.186
201909100400,38.256
201909100410,34.261
201909100420,38.41
201909100430,39.196
201909100440,40.191
201909100450,34.779
201909100500,34.386
201909100510,39.992
201909100520,38.393
201909100530,39.42
201909100540,41.043
201909100550,38.199
201909100600,39.819
201909100610,37.388
201909100620,38.589
201909100630,37.936
201909100640,37.237
201909100650,35.69
201909100700,30.464
201909100710,23.561
201909100720,19.885
201909100730,18.797
201909100740,17.108
201909100750,7.279
201909100800,19.379
201909100810,16.829
201909100820,35.91
201909100830,35.858
201909100840,36.671
201909100850,40.169
201909100900,38.577
201909100910,36.882
201909100920,38.595
201909100930,38.923
201909100940,36.289
201909100950,38.222
201909101000,38.328
201909101010,37.352
201909101020,35.358
201909101030,37.219
201909101040,36.952
201909101050,37.806
201909101100,37.362
201909101110,37.098
201909101120,36.93
201909101130,38.009
201909101140,37.544
201909101150,37.401
201909101200,36.72
201909101210,38.011
201909101220,38.574
201909101230,36.032
201909101240,38.983
201909101250,38.33
201909101300,38.388
201909101310,37.302
201909101320,37.55
201909101330,36.591
201909101340,37.715
201909101350,36.595
201909101400,38.28
201909101410,38.918
201909101420,37.044
201909101430,36.373
201909101440,39.078
201909101450,38.682
201909101500,37.31
201909101510,37.871
201909101520,35.331
201909101530,35.767
201909101540,31.537
201909101550,35.366
201909101600,37.105
201909101610,36.473
201909101620,34.923
201909101630,36.241
201909101640,36.567
201909101650,35.776
201909101700,26.199
201909101710,35.631
201909101720,29.922
201909101730,27.599
201909101740,29.11
201909101750,29.761
201909101800,33.028
201909101810,25.963
201909101820,27.948
201909101830,23.405
201909101840,27.578
201909101850,30.084
201909101900,27.545
201909101910,29.677
201909101920,28.014
201909101930,26.397
201909101940,28.523
201909101950,27.306
201909102000,23.717
201909102010,24.325
201909102020,24.705
201909102030,33.728
201909102040,34.353
201909102050,36.281
201909102100,35.635
201909102110,33.526
201909102120,34.991
201909102130,34.187
201909102140,31.116
201909102150,35.404
201909102200,37.373
201909102210,37.4
201909102220,36.185
201909102230,37.529
201909102240,37.87
201909102250,36.915
201909102300,39.392
201909102310,40.509
201909102320,39.694
201909102330,40.961
201909102340,41.296
201909102350,39.656
201909110000,40.828
201909110010,39.345
201909110020,39.573
201909110030,38.193
201909110040,40.086
201909110050,41.434
201909110100,40.725
201909110110,38.281
201909110120,41.638
201909110130,40.531
201909110140,38.117
201909110150,41.96
201909110200,40.59
201909110210,39.2
201909110220,41.237
201909110230,41.959
201909110240,41.396
201909110250,40.417
201909110300,41.865
201909110310,39.535
201909110320,35.127
201909110330,37.631
201909110340,38.302
201909110350,40.701
201909110400,40.761
201909110410,38.655
201909110420,40.519
201909110430,38.558
201909110440,30.156
201909110450,40.049
201909110500,40.435
201909110510,40.195
201909110520,39.959
201909110530,40.799
201909110540,40.589
201909110550,40.054
201909110600,40.95
201909110610,40.424
201909110620,38.433
201909110630,38.127
201909110640,38.831
201909110650,38.856
201909110700,37.276
201909110710,33.986
201909110720,36.931
201909110730,35.767
201909110740,34.5
201909110750,37.163
201909110800,36.132
201909110810,35.614
201909110820,36.439
201909110830,38.736
201909110840,37.509
201909110850,38.084
201909110900,37.367
201909110910,38.099
201909110920,37.071
201909110930,38.505
201909110940,38.568
201909110950,39.128
201909111000,37.03
201909111010,38.378
201909111020,38.143
201909111030,38.877
201909111040,38.563
201909111050,37.841
201909111100,38.529
201909111110,37.748
201909111120,38.779
201909111130,38.715
201909111140,37.834
201909111150,38.526
201909111200,37.721
201909111210,38.216
201909111220,38.882
201909111230,38.682
201909111240,38.747
201909111250,38.783
201909111300,39.574
201909111310,39.276
201909111320,37.389
201909111330,38.278
201909111340,38.595
201909111350,37.315
201909111400,39.32
201909111410,41.075
201909111420,37.908
201909111430,37.799
201909111440,38.469
201909111450,37.155
201909111500,35.806
201909111510,38.834
201909111520,35.17
201909111530,37.593
201909111540,36.689
201909111550,36.672
201909111600,36.118
201909111610,35.557
201909111620,35.566
201909111630,36.607
201909111640,32.873
201909111650,35.526
201909111700,35.018
201909111710,28.714
201909111720,30.386
201909111730,29.981
201909111740,27.834
201909111750,21.761
201909111800,23.817
201909111810,24.608
201909111820,25.067
201909111830,27.971
201909111840,32.213
